Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Local matrix size       = 184.844 GiBs
Total device memory use = 189.112 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
  6.6% | 000029440 |    0.5256741  | 5.530e+04| 5.916e+04| 5.898e+04|  4.956e-02 |  1.309e-02 |  1.565e-02 | 2.888e-02 |   4.276e-01  |  4.220e+05  |    4.370e+05   
  6.8% | 000030080 |    0.4924162  |          | 5.922e+04| 5.901e+04|            |            |  4.198e-02 | 5.925e-02 |   3.907e-01  |  4.492e+05  |    4.373e+05   
  6.9% | 000030720 |    0.5252740  | 5.564e+04| 5.910e+04| 5.896e+04|  4.928e-02 |  6.454e-03 |  1.572e-02 | 2.665e-02 |   4.297e-01  |  4.198e+05  |    4.369e+05   
  7.0% | 000031360 |    0.4835198  |          | 5.923e+04| 5.903e+04|            |            |  3.484e-02 | 4.795e-02 |   4.002e-01  |  4.546e+05  |    4.372e+05   
  7.2% | 000032000 |    0.5197836  | 5.549e+04| 5.916e+04| 5.900e+04|  4.951e-02 |  1.304e-02 |  1.559e-02 | 2.818e-02 |   4.226e-01  |  4.216e+05  |    4.369e+05   
  7.3% | 000032640 |    0.4859803  |          | 5.923e+04| 5.895e+04|            |            |  3.783e-02 | 5.787e-02 |   3.898e-01  |  4.495e+05  |    4.372e+05   
  7.5% | 000033280 |    0.5189822  | 5.521e+04| 5.908e+04| 5.898e+04|  4.882e-02 |  6.432e-03 |  1.557e-02 | 2.693e-02 |   4.238e-01  |  4.196e+05  |    4.368e+05   
  7.6% | 000033920 |    0.4780122  |          | 5.922e+04| 5.902e+04|            |            |  3.203e-02 | 4.907e-02 |   3.964e-01  |  4.542e+05  |    4.371e+05   
  7.8% | 000034560 |    0.5140752  | 5.477e+04| 5.915e+04| 5.898e+04|  4.939e-02 |  1.283e-02 |  1.548e-02 | 2.826e-02 |   4.170e-01  |  4.210e+05  |    4.368e+05   
  7.9% | 000035200 |    0.4799756  |          | 5.923e+04| 5.899e+04|            |            |  3.497e-02 | 5.809e-02 |   3.864e-01  |  4.495e+05  |    4.371e+05   
  8.0% | 000035840 |    0.5125101  | 5.472e+04| 5.913e+04| 5.902e+04|  4.874e-02 |  6.662e-03 |  1.550e-02 | 2.786e-02 |   4.165e-01  |  4.197e+05  |    4.368e+05   
  8.2% | 000036480 |    0.4721179  |          | 5.920e+04| 5.902e+04|            |            |  2.976e-02 | 4.835e-02 |   3.935e-01  |  4.542e+05  |    4.370e+05   
  8.3% | 000037120 |    0.5077084  | 5.493e+04| 5.916e+04| 5.899e+04|  4.906e-02 |  1.279e-02 |  1.550e-02 | 2.944e-02 |   4.098e-01  |  4.210e+05  |    4.368e+05   
  8.5% | 000037760 |    0.4747277  |          | 5.928e+04| 5.900e+04|            |            |  3.286e-02 | 6.005e-02 |   3.813e-01  |  4.488e+05  |    4.369e+05   
  8.6% | 000038400 |    0.5069754  | 5.470e+04| 5.914e+04| 5.899e+04|  4.871e-02 |  6.672e-03 |  1.548e-02 | 2.925e-02 |   4.096e-01  |  4.190e+05  |    4.367e+05   
