Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Local matrix size       = 2.96092 GiBs
Total device memory use = 3.5162 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 57.5% | 000032000 |    0.0229180  | 4.550e+04| 6.166e+04| 6.567e+04|  1.855e-02 |  7.149e-03 |  8.878e-04 | 1.592e-03 |   1.902e-05  |  3.217e+04  |    7.833e+04   
 58.6% | 000032640 |    0.0204302  |          | 5.975e+04| 5.836e+04|            |            |  1.831e-02 | 1.646e-03 |   1.844e-05  |  3.419e+04  |    7.768e+04   
 59.8% | 000033280 |    0.0222842  | 4.619e+04| 6.023e+04| 6.250e+04|  1.821e-02 |  6.055e-03 |  8.893e-04 | 1.367e-03 |   5.508e-05  |  2.965e+04  |    7.691e+04   
 60.9% | 000033920 |    0.0207494  |          | 6.119e+04| 5.642e+04|            |            |  1.855e-02 | 1.673e-03 |   1.899e-05  |  3.008e+04  |    7.623e+04   
 62.1% | 000034560 |    0.0225666  | 4.412e+04| 6.173e+04| 6.152e+04|  1.851e-02 |  7.167e-03 |  8.078e-04 | 1.389e-03 |   1.728e-05  |  2.607e+04  |    7.544e+04   
 63.2% | 000035200 |    0.0201871  |          | 6.116e+04| 5.608e+04|            |            |  1.825e-02 | 1.464e-03 |   1.866e-05  |  2.743e+04  |    7.478e+04   
 64.4% | 000035840 |    0.0221248  | 4.569e+04| 6.111e+04| 5.112e+04|  1.809e-02 |  5.910e-03 |  8.075e-04 | 1.338e-03 |   1.934e-05  |  2.351e+04  |    7.401e+04   
 65.5% | 000036480 |    0.0203720  |          | 5.853e+04| 4.585e+04|            |            |  1.830e-02 | 1.538e-03 |   1.853e-05  |  2.394e+04  |    7.334e+04   
 66.7% | 000037120 |    0.0223514  | 4.001e+04| 6.001e+04| 4.862e+04|  1.855e-02 |  7.112e-03 |  7.209e-04 | 1.317e-03 |   1.865e-05  |  2.041e+04  |    7.256e+04   
 67.8% | 000037760 |    0.0199873  |          | 5.995e+04| 4.633e+04|            |            |  1.808e-02 | 1.444e-03 |   1.832e-05  |  2.131e+04  |    7.190e+04   
 69.0% | 000038400 |    0.0212352  | 4.150e+04| 6.087e+04|          |  1.791e-02 |  5.830e-03 |  7.156e-04 | 9.959e-04 |   1.065e-04  |  1.867e+04  |    7.118e+04   
 70.1% | 000039040 |    0.0203449  |          | 5.980e+04|          |            |            |  1.857e-02 | 1.393e-03 |   4.944e-05  |  1.810e+04  |    7.050e+04   
 71.3% | 000039680 |    0.0216949  | 4.345e+04| 6.256e+04|          |  1.839e-02 |  7.054e-03 |  6.392e-04 | 1.058e-03 |   5.796e-05  |  1.572e+04  |    6.976e+04   
 72.4% | 000040320 |    0.0192904  |          | 6.184e+04|          |            |            |  1.795e-02 | 1.023e-03 |   5.577e-05  |  1.632e+04  |    6.913e+04   
 73.6% | 000040960 |    0.0207872  | 4.438e+04| 6.060e+04|          |  1.759e-02 |  5.901e-03 |  6.363e-04 | 9.124e-04 |   9.416e-05  |  1.393e+04  |    6.843e+04   
 74.7% | 000041600 |    0.0192682  |          | 5.631e+04|          |            |            |  1.781e-02 | 1.103e-03 |   4.781e-05  |  1.378e+04  |    6.780e+04   
 75.9% | 000042240 |    0.0210697  | 4.056e+04| 5.391e+04|          |  1.798e-02 |  6.713e-03 |  5.449e-04 | 9.911e-04 |   5.067e-05  |  1.150e+04  |    6.710e+04   
 77.0% | 000042880 |    0.0187992  |          | 5.409e+04|          |            |            |  1.761e-02 | 8.619e-04 |   5.202e-05  |  1.172e+04  |    6.649e+04   
 78.2% | 000043520 |    0.0204609  | 3.927e+04| 5.871e+04|          |  1.754e-02 |  5.808e-03 |  5.419e-04 | 7.472e-04 |   1.227e-04  |  9.745e+03  |    6.582e+04   
 79.3% | 000044160 |    0.0189192  |          | 5.522e+04|          |            |            |  1.761e-02 | 9.799e-04 |   4.516e-05  |  9.486e+03  |    6.521e+04   
 80.5% | 000044800 |    0.0206190  | 4.246e+04| 5.823e+04|          |  1.786e-02 |  6.709e-03 |  4.518e-04 | 7.666e-04 |   4.866e-05  |  7.789e+03  |    6.454e+04   
 81.6% | 000045440 |    0.0183608  |          | 5.625e+04|          |            |            |  1.726e-02 | 7.989e-04 |   4.055e-05  |  7.776e+03  |    6.395e+04   
 82.8% | 000046080 |    0.0199084  | 4.256e+04| 5.373e+04|          |  1.734e-02 |  5.701e-03 |  4.493e-04 | 5.775e-04 |   7.603e-05  |  6.329e+03  |    6.332e+04   
 83.9% | 000046720 |    0.0185355  |          | 5.422e+04|          |            |            |  1.734e-02 | 8.535e-04 |   3.578e-05  |  5.949e+03  |    6.274e+04   
 85.1% | 000047360 |    0.0202105  | 3.250e+04| 5.357e+04|          |  1.768e-02 |  6.587e-03 |  3.685e-04 | 6.438e-04 |   4.337e-05  |  4.730e+03  |    6.210e+04   
 86.2% | 000048000 |    0.0180455  |          | 5.404e+04|          |            |            |  1.716e-02 | 5.906e-04 |   3.740e-05  |  4.542e+03  |    6.154e+04   
 87.4% | 000048640 |    0.0195776  | 3.444e+04| 4.990e+04|          |  1.722e-02 |  5.652e-03 |  3.708e-04 | 4.651e-04 |   5.727e-05  |  3.544e+03  |    6.094e+04   
 88.5% | 000049280 |    0.0182407  |          | 4.217e+04|          |            |            |  1.724e-02 | 6.876e-04 |   3.181e-05  |  3.171e+03  |    6.039e+04   
 89.7% | 000049920 |    0.0198895  | 3.290e+04| 4.815e+04|          |  1.762e-02 |  6.505e-03 |  2.770e-04 | 5.332e-04 |   3.648e-05  |  2.381e+03  |    5.979e+04   
 90.8% | 000050560 |    0.0176992  |          | 4.539e+04|          |            |            |  1.693e-02 | 4.764e-04 |   3.087e-05  |  2.142e+03  |    5.926e+04   
 92.0% | 000051200 |    0.0193037  | 3.375e+04| 4.418e+04|          |  1.718e-02 |  5.653e-03 |  2.772e-04 | 3.425e-04 |   4.423e-05  |  1.530e+03  |    5.869e+04   
 93.1% | 000051840 |    0.0178550  |          | 3.813e+04|          |            |            |  1.702e-02 | 5.164e-04 |   2.681e-05  |  1.243e+03  |    5.817e+04   
 94.3% | 000052480 |    0.0194613  | 1.882e+04| 3.237e+04|          |  1.748e-02 |  6.596e-03 |  1.976e-04 | 3.559e-04 |   3.017e-05  |  8.171e+02  |    5.761e+04   
 95.4% | 000053120 |    0.0172336  |          | 3.294e+04|          |            |            |  1.663e-02 | 3.279e-04 |   2.691e-05  |  6.185e+02  |    5.713e+04   
 96.6% | 000053760 |    0.0187752  | 1.855e+04| 2.003e+04|          |  1.691e-02 |  5.703e-03 |  1.967e-04 | 2.341e-04 |   3.243e-05  |  3.443e+02  |    5.660e+04   
 97.7% | 000054400 |    0.0167191  |          | 0.000e+00|          |            |            |  1.605e-02 | 3.904e-04 |   2.697e-05  |  1.985e+02  |    5.614e+04   
 98.9% | 000055040 |    0.0180246  | 0.000e+00|          |          |  1.698e-02 |  1.658e-02 |  1.061e-04 | 0.000e+00 |   1.575e-05  |  6.784e+01  |    5.565e+04   
Final Score:    5.4945e+04 GFLOPS 
Residual value = 0.000121440525734 (0x3f1fd5bc5882541f)
Residual Check: PASSED 
