Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Local matrix size       = 11.6956 GiBs
Total device memory use = 12.7791 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 23.6% | 000026240 |    0.0417679  |          | 6.989e+04| 5.559e+04|            |            |  2.384e-02 | 6.030e-03 |   1.144e-02  |  2.237e+05  |    2.436e+05   
 24.1% | 000026880 |    0.0433484  | 5.872e+04| 5.663e+04| 6.237e+04|  2.110e-02 |  7.158e-03 |  3.186e-03 | 5.759e-03 |   1.097e-02  |  2.123e+05  |    2.430e+05   
 24.7% | 000027520 |    0.0398088  |          | 6.946e+04| 5.712e+04|            |            |  2.324e-02 | 5.420e-03 |   1.071e-02  |  2.277e+05  |    2.427e+05   
 25.3% | 000028160 |    0.0437012  | 5.788e+04| 5.694e+04| 6.274e+04|  2.155e-02 |  6.250e-03 |  3.110e-03 | 5.361e-03 |   1.131e-02  |  2.043e+05  |    2.420e+05   
 25.9% | 000028800 |    0.0393082  |          | 7.052e+04| 5.422e+04|            |            |  2.284e-02 | 5.272e-03 |   1.073e-02  |  2.237e+05  |    2.416e+05   
 26.4% | 000029440 |    0.0420328  | 5.319e+04| 5.610e+04| 6.219e+04|  2.092e-02 |  7.011e-03 |  3.034e-03 | 5.599e-03 |   1.008e-02  |  2.060e+05  |    2.410e+05   
 27.0% | 000030080 |    0.0398086  |          | 7.040e+04| 5.549e+04|            |            |  2.421e-02 | 5.300e-03 |   9.856e-03  |  2.141e+05  |    2.405e+05   
 27.6% | 000030720 |    0.0420921  | 5.355e+04| 5.761e+04| 6.355e+04|  2.147e-02 |  6.219e-03 |  3.073e-03 | 5.498e-03 |   9.659e-03  |  1.993e+05  |    2.398e+05   
 28.2% | 000031360 |    0.0387177  |          | 6.944e+04| 5.799e+04|            |            |  2.376e-02 | 5.597e-03 |   8.905e-03  |  2.133e+05  |    2.394e+05   
 28.7% | 000032000 |    0.0397680  | 6.022e+04| 5.877e+04| 6.728e+04|  2.085e-02 |  7.005e-03 |  2.993e-03 | 6.009e-03 |   7.569e-03  |  2.043e+05  |    2.388e+05   
 29.3% | 000032640 |    0.0388314  |          | 6.980e+04| 5.628e+04|            |            |  2.450e-02 | 5.122e-03 |   8.765e-03  |  2.059e+05  |    2.383e+05   
 29.9% | 000033280 |    0.0406080  | 5.117e+04| 5.718e+04| 6.608e+04|  2.137e-02 |  6.246e-03 |  2.835e-03 | 5.727e-03 |   8.252e-03  |  1.937e+05  |    2.376e+05   
 30.5% | 000033920 |    0.0376610  |          | 6.311e+04| 5.370e+04|            |            |  2.343e-02 | 5.018e-03 |   8.715e-03  |  2.055e+05  |    2.371e+05   
 31.0% | 000034560 |    0.0400639  | 4.731e+04| 5.258e+04| 6.269e+04|  2.069e-02 |  6.799e-03 |  2.827e-03 | 5.232e-03 |   8.888e-03  |  1.900e+05  |    2.364e+05   
 31.6% | 000035200 |    0.0359373  |          | 6.342e+04| 5.528e+04|            |            |  2.259e-02 | 4.971e-03 |   7.941e-03  |  2.083e+05  |    2.360e+05   
 32.2% | 000035840 |    0.0405965  | 4.827e+04| 5.497e+04| 6.116e+04|  2.139e-02 |  6.366e-03 |  2.903e-03 | 5.327e-03 |   8.575e-03  |  1.813e+05  |    2.352e+05   
 32.8% | 000036480 |    0.0350556  |          | 6.478e+04| 5.381e+04|            |            |  2.218e-02 | 4.579e-03 |   7.841e-03  |  2.065e+05  |    2.348e+05   
 33.3% | 000037120 |    0.0390214  | 4.997e+04| 5.339e+04| 6.152e+04|  2.063e-02 |  6.733e-03 |  2.783e-03 | 4.975e-03 |   8.210e-03  |  1.824e+05  |    2.341e+05   
 33.9% | 000037760 |    0.0350277  |          | 6.528e+04| 5.509e+04|            |            |  2.245e-02 | 5.121e-03 |   7.041e-03  |  1.997e+05  |    2.336e+05   
 34.5% | 000038400 |    0.0393395  | 5.340e+04| 5.236e+04| 6.367e+04|  2.112e-02 |  6.124e-03 |  2.662e-03 | 5.108e-03 |   8.044e-03  |  1.747e+05  |    2.328e+05   
 35.1% | 000039040 |    0.0343584  |          | 6.476e+04| 5.514e+04|            |            |  2.199e-02 | 5.274e-03 |   6.653e-03  |  1.966e+05  |    2.324e+05   
 35.6% | 000039680 |    0.0380941  | 5.129e+04| 5.227e+04| 6.092e+04|  2.065e-02 |  6.995e-03 |  2.585e-03 | 4.874e-03 |   7.684e-03  |  1.742e+05  |    2.316e+05   
 36.2% | 000040320 |    0.0337372  |          | 6.515e+04| 5.266e+04|            |            |  2.203e-02 | 4.598e-03 |   6.667e-03  |  1.932e+05  |    2.312e+05   
 36.8% | 000040960 |    0.0385094  | 4.686e+04| 5.336e+04| 6.267e+04|  2.127e-02 |  6.214e-03 |  2.635e-03 | 4.598e-03 |   7.605e-03  |  1.662e+05  |    2.303e+05   
 37.4% | 000041600 |    0.0330909  |          | 6.377e+04| 5.416e+04|            |            |  2.192e-02 | 4.938e-03 |   5.755e-03  |  1.900e+05  |    2.299e+05   
 37.9% | 000042240 |    0.0369371  | 4.427e+04| 5.335e+04| 6.214e+04|  2.071e-02 |  6.881e-03 |  2.504e-03 | 5.404e-03 |   5.926e-03  |  1.671e+05  |    2.291e+05   
 38.5% | 000042880 |    0.0331772  |          | 6.296e+04| 5.240e+04|            |            |  2.259e-02 | 4.229e-03 |   5.916e-03  |  1.826e+05  |    2.286e+05   
 39.1% | 000043520 |    0.0376158  | 4.088e+04| 5.165e+04| 6.199e+04|  2.110e-02 |  6.081e-03 |  2.511e-03 | 4.459e-03 |   7.072e-03  |  1.581e+05  |    2.278e+05   
 39.7% | 000044160 |    0.0316064  |          | 6.328e+04| 5.421e+04|            |            |  2.147e-02 | 4.452e-03 |   5.215e-03  |  1.846e+05  |    2.274e+05   
 40.2% | 000044800 |    0.0361099  | 4.341e+04| 5.263e+04| 6.186e+04|  2.067e-02 |  6.959e-03 |  2.415e-03 | 4.678e-03 |   6.000e-03  |  1.586e+05  |    2.266e+05   
 40.8% | 000045440 |    0.0311615  |          | 6.197e+04| 5.142e+04|            |            |  2.148e-02 | 4.070e-03 |   5.190e-03  |  1.802e+05  |    2.261e+05   
 41.4% | 000046080 |    0.0368755  | 4.474e+04| 5.087e+04| 6.140e+04|  2.112e-02 |  6.166e-03 |  2.434e-03 | 4.403e-03 |   6.484e-03  |  1.494e+05  |    2.253e+05   
 42.0% | 000046720 |    0.0305891  |          | 6.387e+04| 5.314e+04|            |            |  2.127e-02 | 4.347e-03 |   4.513e-03  |  1.766e+05  |    2.248e+05   
 42.5% | 000047360 |    0.0350955  | 4.771e+04| 5.306e+04| 6.051e+04|  2.050e-02 |  6.927e-03 |  2.364e-03 | 4.989e-03 |   4.901e-03  |  1.509e+05  |    2.240e+05   
 43.1% | 000048000 |    0.0305440  |          | 6.133e+04| 5.304e+04|            |            |  2.156e-02 | 4.357e-03 |   4.196e-03  |  1.699e+05  |    2.235e+05   
 43.7% | 000048640 |    0.0353150  | 3.820e+04| 5.273e+04| 6.373e+04|  2.099e-02 |  6.187e-03 |  2.377e-03 | 4.287e-03 |   5.015e-03  |  1.440e+05  |    2.227e+05   
 44.3% | 000049280 |    0.0295512  |          | 6.322e+04| 5.168e+04|            |            |  2.110e-02 | 4.065e-03 |   3.943e-03  |  1.687e+05  |    2.222e+05   
