Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1743554839,3909070,2864774,2853749,2845546,2893968,2857354,2901233,2877885
1743554840,3931476,2886993,2874900,2867153,2915498,2878327,2922835,2899499
1743554841,3954440,2909567,2896338,2888779,2937803,2900335,2945217,2921360
1743554842,3976662,2931574,2917626,2910598,2959563,2921681,2966964,2943073
1743554843,3999582,2954226,2939476,2932764,2981719,2943673,2989098,2964875
1743554844,4022310,2976505,2960803,2954379,3003105,2964712,3010486,2985850
1743554845,4045321,2998740,2982336,2976198,3025934,2987028,3033135,3008029
1743554846,4067639,3020709,3003374,2997458,3047234,3007710,3054229,3028855
1743554848,4090071,3042724,3024673,3019141,3069160,3029208,3076129,3050338
1743554849,4112166,3064622,3045674,3040790,3091181,3050575,3098297,3072103
1743554850,4133905,3086452,3066700,3062300,3112668,3071511,3119300,3093169
1743554851,4155108,3107245,3087519,3083424,3134186,3092672,3140381,3114236
1743554852,4177420,3128903,3108255,3104905,3156201,3114484,3162342,3136198
1743554853,4199363,3150378,3129057,3125837,3177623,3135334,3183267,3157059
1743554854,4221758,3172288,3149472,3146934,3198795,3156214,3204429,3177737
1743554855,4244763,3194516,3170322,3168312,3221187,3178139,3226544,3199545
1743554857,4267412,3216940,3191206,3189632,3242486,3199019,3247654,3220550
1743554858,4288778,3238073,3211435,3209974,3263973,3220165,3268599,3241699
1743554859,4311156,3259585,3232261,3230480,3285286,3241647,3290104,3263089
1743554860,4334374,3281855,3254445,3252326,3307581,3264175,3312753,3285686
1743554861,4357106,3304087,3276231,3274040,3329844,3286293,3335259,3308080
1743554862,4379939,3326037,3298205,3295813,3351996,3308312,3357688,3329949
1743554863,4402705,3348161,3319910,3317597,3373966,3330316,3379840,3352000
1743554864,4425281,3370319,3341722,3339470,3396227,3352611,3402194,3374393
1743554866,4447341,3391984,3363004,3361242,3418224,3374524,3424361,3396439
1743554867,4469843,3413993,3384566,3382853,3440231,3396726,3446784,3418453
1743554868,4492236,3435789,3406188,3404617,3462368,3418940,3469032,3440671
1743554869,4514765,3457370,3427622,3425866,3484516,3441263,3491326,3463029
1743554870,4537184,3479031,3449459,3447651,3506665,3463262,3513787,3485328
1743554871,4559077,3500131,3470543,3468542,3527982,3484399,3535060,3506540
1743554872,4581577,3521821,3492055,3490062,3550155,3506549,3557282,3528683
1743554873,4604033,3543504,3513380,3511327,3571785,3528382,3579226,3550531
1743554875,4626208,3564942,3534650,3532639,3593703,3550649,3601734,3572790
1743554876,4647936,3585617,3555628,3553114,3615382,3572440,3623937,3594798
