Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1754528914,333728400,327899601,328019952,327834394,327848562,327844287,327637783,327801925
1754528915,333810854,327981931,328102308,327916785,327931006,327926764,327720290,327884475
1754528916,333892609,328063809,328184316,327998671,328012722,328008437,327801935,327966126
1754528917,333974208,328145391,328265797,328080269,328094405,328090227,327883722,328047964
1754528918,334055933,328227023,328347347,328161914,328176030,328171774,327965287,328129505
1754528919,334137563,328308900,328429183,328243687,328257792,328253485,328046932,328211137
1754528920,334218964,328390720,328511015,328325427,328339697,328335437,328128966,328293225
1754528921,334300803,328472510,328592893,328407338,328421475,328417264,328210737,328375071
1754528923,334382780,328554338,328674743,328489225,328503346,328499144,328292625,328456949
1754528924,334464249,328635914,328756223,328570837,328584861,328580609,328374036,328538259
1754528925,334545805,328717406,328837701,328651814,328666300,328662096,328455550,328619829
1754528926,334627866,328799444,328919754,328733851,328748366,328744126,328537595,328701939
1754528927,334709286,328880794,329001091,328815216,328829679,328825563,328619134,328783364
1754528928,334791145,328962740,329083057,328897156,328911336,328907288,328700749,328864996
1754528929,334873331,329045282,329165616,328979695,328993956,328990104,328783647,328947910
1754528930,334957470,329129037,329249442,329063582,329077825,329073667,328867219,329031402
1754528932,335038968,329210635,329330936,329145076,329159315,329155202,328948778,329113062
1754528933,335120636,329292386,329412658,329226693,329240887,329236795,329030444,329194710
1754528934,335203209,329374914,329495130,329309132,329323357,329319349,329112920,329277221
1754528935,335284923,329456648,329576955,329390971,329405267,329401189,329194740,329358976
1754528936,335366723,329538356,329658504,329472860,329487100,329483037,329276590,329441071
1754528937,335448308,329619912,329739979,329554351,329568580,329564588,329358109,329522478
1754528938,335529786,329701486,329821536,329635822,329650105,329646003,329438993,329603240
1754528939,335611366,329783015,329903080,329717421,329731651,329727585,329520618,329684992
1754528940,335693064,329864758,329984828,329799189,329813566,329809649,329602849,329767144
1754528942,335775620,329947251,330067281,329881739,329895929,329891887,329684941,329849313
1754528943,335857339,330028961,330148992,329963379,329977599,329973524,329766583,329930907
1754528944,335939549,330111109,330231148,330045617,330059812,330055736,329848866,330013255
1754528945,336020960,330193074,330313088,330127461,330141603,330137495,329930520,330094892
1754528946,336102688,330274783,330394774,330209138,330223354,330219296,330012371,330176759
1754528947,336184234,330356302,330476384,330290829,330305067,330301042,330094060,330258540
1754528948,336266021,330438119,330558148,330372602,330386750,330382776,330175795,330340266
1754528949,336347796,330519877,330639896,330454331,330468578,330464542,330257539,330421958
1754528951,336429956,330601996,330722025,330536171,330550626,330546584,330339558,330503879
1754528952,336512846,330684937,330804916,330619032,330633528,330629374,330422397,330586716
1754528953,336594407,330766431,330886459,330700601,330714771,330711070,330504047,330668415
1754528954,336675981,330847980,330967986,330782179,330796383,330792612,330585635,330749976
1754528955,336757691,330929628,331049609,330863780,330877928,330874235,330667251,330831669
1754528956,336839366,331011353,331131559,330945721,330959761,330955732,330748904,330913217
1754528957,336921280,331093438,331213404,331027499,331041705,331037794,330830926,330995332
1754528958,337002882,331174970,331294952,331109118,331123333,331119390,330912720,331077160
1754528960,337085534,331257663,331377679,331191762,331205950,331201957,330995281,331159737
1754528961,337167609,331339702,331459467,331273922,331288108,331284232,331077449,331241887
1754528962,337249406,331421516,331541248,331355643,331370034,331366140,331159386,331323882
1754528963,337331650,331503735,331623470,331437907,331452049,331448102,331240837,331405254
1754528964,337413572,331585686,331705426,331519804,331533970,331529971,331322598,331486982
1754528965,337495236,331667306,331787040,331601459,331615566,331611702,331404371,331568894
1754528966,337577010,331749060,331868786,331683303,331697401,331693471,331486196,331650641
1754528967,337658582,331830618,331950278,331764807,331778913,331774978,331567651,331732055
1754528969,337740241,331912439,332032121,331846556,331860566,331856574,331649164,331813535
1754528970,337821759,331994188,332113984,331928430,331942507,331938626,331731286,331895651
1754528971,337903296,332075853,332195528,332009976,332024054,332020110,331812770,331977297
1754528972,337985361,332158025,332277746,332092130,332106259,332102328,331894956,332059541
1754528973,338067962,332240627,332360254,332174678,332188948,332185001,331977620,332142199
1754528974,338149607,332322203,332441851,332256370,332270388,332266522,332059187,332223667
1754528975,338231212,332403830,332523483,332337645,332352039,332348119,332140738,332305213
1754528976,338312813,332485403,332605050,332419224,332433778,332429835,332222559,332387108
1754528977,338395999,332568605,332688233,332502410,332516685,332512883,332305486,332469981
1754528979,338477774,332650393,332770018,332584196,332598634,332594896,332387638,332552137
1754528980,338559800,332732430,332852065,332666208,332680516,332676800,332469309,332633873
1754528981,338641369,332813941,332933588,332747844,332762099,332758274,332551029,332715488
1754528982,338723938,332896544,333016276,332830425,332844687,332840861,332633588,332798083
1754528983,338805669,332978270,333097951,332911975,332926156,332922230,332714961,332879436
1754528984,338887377,333059962,333179719,332993968,333008291,333004359,332797032,332961445
1754528985,338970044,333142830,333262247,333076573,333090773,333086813,332879513,333044071
1754528986,339053018,333225631,333345000,333159507,333173741,333169885,332962629,333127200
1754528988,339134844,333307616,333426954,333241303,333255506,333251548,333043920,333208669
1754528989,339216213,333388945,333508293,333322687,333336952,333333054,333125354,333290003
1754528990,339297918,333470619,333589997,333404376,333418646,333414786,333207042,333371755
1754528991,339379742,333552432,333671837,333486215,333500464,333496554,333288791,333453405
1754528992,339462282,333634915,333754331,333568664,333582873,333579008,333371249,333535838
1754528993,339544024,333716751,333836163,333650551,333664813,333660907,333453115,333617662
1754528994,339625793,333798433,333917736,333732161,333746408,333742601,333534886,333699515
1754528995,339707446,333880418,333999714,333814358,333828668,333824959,333617168,333781805
1754528997,339789933,333962923,334082279,333896704,333911040,333907150,333699352,333864010
1754528998,339871723,334044669,334163985,333978520,333992694,333988868,333781182,333945824
1754528999,339953643,334126529,334245791,334060348,334074494,334070646,333862947,334027547
1754529000,340036101,334209038,334328349,334142748,334157062,334153178,333945395,334110121
1754529001,340117735,334290818,334410108,334224363,334238840,334234768,334026907,334191522
1754529002,340199396,334372432,334491710,334306071,334320419,334316637,334108889,334273610
1754529003,340281158,334454190,334573491,334387770,334402093,334398283,334190418,334355136
1754529004,340362850,334535871,334655160,334469462,334483780,334480027,334272280,334437000
1754529006,340445345,334618365,334737654,334551955,334566328,334562470,334354835,334519544
1754529007,340527536,334700735,334819961,334634291,334648557,334644623,334436958,334601623
1754529008,340609450,334782511,334901751,334716072,334730408,334726454,334518730,334683381
1754529009,340691397,334864451,334983746,334798021,334812325,334808447,334600752,334765470
1754529010,340772963,334945987,335065498,334879715,334893972,334890080,334682381,334847196
1754529011,340854753,335027744,335146969,334961435,334975695,334971782,334764078,334928904
1754529012,340936908,335109845,335228944,335043425,335057761,335053836,334846232,335011093
1754529013,341019853,335192897,335312060,335126536,335140889,335136995,334929038,335093767
1754529015,341101907,335274912,335394039,335208517,335222768,335218894,335010890,335175618
1754529016,341183803,335356841,335475855,335290315,335304645,335300712,335092751,335257503
1754529017,341266002,335439168,335558150,335372557,335386746,335382844,335174826,335339544
1754529018,341348536,335521591,335640590,335455055,335469376,335465452,335257511,335422308
1754529019,341430313,335603564,335722632,335537029,335551315,335547311,335339221,335504026
1754529020,341511808,335685245,335804350,335618838,335633148,335629359,335421366,335586063
1754529021,341594240,335767608,335886717,335701184,335715451,335711533,335503560,335668419
1754529022,341675917,335849258,335968373,335782872,335797094,335793313,335585248,335750018
1754529024,341757700,335931057,336050110,335864635,335878899,335875017,335666978,335831741
1754529025,341839376,336012820,336131890,335946298,335960593,335956734,335748599,335913315
1754529026,341921126,336094538,336213609,336027775,336042390,336038481,335830387,335995257
